county,year,unemployment_rate,laborforce_sum,unemployment_sum
CLINTON,2002,5.350,321570,17180
CLINTON,2003,5.417,315010,17080
CLINTON,2004,5.225,315660,16500
CLINTON,2005,4.783,322580,15440
CLINTON,2006,3.925,326890,12790
CLINTON,2007,3.742,331000,12410
CLINTON,2008,4.150,339360,14130
CLINTON,2009,7.342,338700,24890
CLINTON,2010,7.125,317220,22620
CLINTON,2011,6.692,311870,20890
CLINTON,2012,6.125,302620,18540
CLINTON,2013,5.758,299930,17260
CLINTON,2014,5.267,298090,15700
CLINTON,2015,4.983,293840,14600
CLINTON,2016,4.867,287400,14020
CLINTON,2017,4.017,279220,11210
CLINTON,2018,3.283,274460,9010
CLINTON,2019,3.650,277190,10090
CLINTON,2020,6.625,263580,17410
CLINTON,2021,4.858,262870,12770
CLINTON,2022,3.567,264950,9450
CLINTON,2023,3.683,262600,9670
CLINTON,2024,3.892,260770,10150
CLINTON,2025,4.682,241840,11300
CRAWFORD,2000,2.525,107110,2660
CRAWFORD,2001,3.108,107960,3360
CRAWFORD,2002,3.850,106940,4140
CRAWFORD,2003,3.842,105380,4050
CRAWFORD,2004,3.675,107950,3970
CRAWFORD,2005,3.875,110290,4280
CRAWFORD,2006,3.050,112630,3420
CRAWFORD,2007,3.317,112210,3740
CRAWFORD,2008,3.258,113410,3700
CRAWFORD,2009,4.675,114630,5370
CRAWFORD,2010,4.758,107670,5130
CRAWFORD,2011,4.800,106350,5100
CRAWFORD,2012,4.450,105600,4690
CRAWFORD,2013,4.367,105540,4610
CRAWFORD,2014,4.100,105020,4300
CRAWFORD,2015,4.175,105230,4370
CRAWFORD,2016,5.008,108130,5430
CRAWFORD,2017,3.750,105430,3950
CRAWFORD,2018,3.167,104860,3330
CRAWFORD,2019,3.142,104940,3300
CRAWFORD,2020,4.742,100630,4770
CRAWFORD,2021,4.350,98770,4310
CRAWFORD,2022,3.808,98380,3790
CRAWFORD,2023,4.325,98920,4270
CRAWFORD,2024,4.150,100400,4150
CRAWFORD,2025,4.682,93290,4360
DALLAS,2000,1.933,282900,5400
DALLAS,2001,2.358,294900,7000
DALLAS,2002,2.933,311600,9100
DALLAS,2003,3.300,318800,10300
DALLAS,2004,3.417,336800,11500
DALLAS,2005,3.400,354100,12200
DALLAS,2006,2.817,375500,10800
DALLAS,2007,2.875,392500,11400
DALLAS,2008,3.208,410000,13200
DALLAS,2009,5.000,419600,20900
DALLAS,2010,4.608,447000,20600
DALLAS,2011,4.317,460800,19800
DALLAS,2012,3.892,472200,18400
DALLAS,2013,3.600,492300,17800
DALLAS,2014,3.292,513600,17000
DALLAS,2015,2.842,525200,14800
DALLAS,2016,2.475,591700,14600
DALLAS,2017,1.975,609300,12200
DALLAS,2018,1.650,635000,10400
DALLAS,2019,1.775,670800,11800
DALLAS,2020,3.258,655900,21200
DALLAS,2021,2.483,689300,17100
DALLAS,2022,1.967,731400,14400
DALLAS,2023,2.233,763600,17200
DALLAS,2024,2.633,774000,20500
DALLAS,2025,3.227,718800,23000
DAVIS,2000,3.300,50040,1640
DAVIS,2001,4.075,52010,2120
DAVIS,2002,4.850,51430,2520
DAVIS,2003,4.875,50920,2490
DAVIS,2004,4.925,50280,2470
DAVIS,2005,5.383,49610,2670
DAVIS,2006,4.675,49830,2340
DAVIS,2007,4.550,49250,2240
DAVIS,2008,4.942,49120,2430
DAVIS,2009,9.250,48660,4510
DAVIS,2010,7.267,51030,3720
DAVIS,2011,6.183,50510,3140
DAVIS,2012,5.725,49340,2820
DAVIS,2013,5.492,49620,2740
DAVIS,2014,5.133,49440,2560
DAVIS,2015,4.425,50230,2240
DAVIS,2016,4.125,55270,2280
DAVIS,2017,3.242,54530,1770
DAVIS,2018,2.675,53740,1440
DAVIS,2019,2.667,53950,1440
DAVIS,2020,3.858,51820,2010
DAVIS,2021,2.983,52760,1590
DAVIS,2022,2.458,54020,1320
DAVIS,2023,2.392,54750,1330
DAVIS,2024,2.650,54550,1440
DAVIS,2025,3.364,50050,1680
DECATUR,2000,3.358,51340,1750
DECATUR,2001,3.408,53470,1840
DECATUR,2002,4.358,52370,2290
DECATUR,2003,5.783,51490,2960
DECATUR,2004,5.200,50080,2600
DECATUR,2005,4.925,50410,2470
DECATUR,2006,4.042,50920,2040
DECATUR,2007,4.075,50610,2050
DECATUR,2008,3.775,51590,1950
DECATUR,2009,6.808,50450,3440
DECATUR,2010,6.142,53520,3280
DECATUR,2011,5.050,52390,2650
DECATUR,2012,4.417,51170,2270
DECATUR,2013,4.492,51720,2330
DECATUR,2014,3.808,53390,2050
DECATUR,2015,3.258,53270,1720
DECATUR,2016,3.608,45780,1650
DECATUR,2017,2.958,44430,1330
DECATUR,2018,2.592,45130,1170
DECATUR,2019,2.425,45620,1100
DECATUR,2020,4.342,43360,1860
DECATUR,2021,3.533,44340,1550
DECATUR,2022,2.817,45250,1300
DECATUR,2023,2.825,44100,1260
DECATUR,2024,2.900,42790,1250
DECATUR,2025,3.345,39340,1320
